지점명	address	distance	address2	num_review	지점명2
스타벅스 김해외동DT점	경남 김해시 외동 559 1~2층	0.7135663119512297	경상남도 김해시 전하로 269-74	21448	흥부암(김해)
스타벅스 김해외동DT점	경남 김해시 외동 559 1~2층	1.2729211044651998	경상남도 김해시 가락로63번길 50	25202	김해 봉황동 유적
스타벅스 김해외동DT점	경남 김해시 외동 559 1~2층	1.286579811427606	경상남도 김해시 봉황동	24175	가야의 거리
스타벅스 김해진영DT점	경상남도 김해시 진영읍 진영리 81	2.6127490713204087	경상남도 김해시 진영읍 진영로 430-16	2171	미양서원
스타벅스 김해진영DT점	경상남도 김해시 진영읍 진영리 81	3.699619924594916	경상남도 김해시 진영읍 봉하로 122-15	886	봉하마을
스타벅스 김해진영DT점	경상남도 김해시 진영읍 진영리 81	3.737889899963677	경상남도 김해시 진영읍 봉하로 129	174429	진영 봉하마을과 노무현 대통령 생가
스타벅스 낙성대DT점	봉천동 1657-3	0.38260641326380895	서울특별시 관악구 약수암1길 28	53966	약수사(서울)
스타벅스 낙성대DT점	봉천동 1657-3	0.7094052387932649	서울특별시 관악구 낙성대로 77	50140	관악산 낙성대공원
스타벅스 낙성대DT점	봉천동 1657-3	0.9703521472877252	서울특별시 관악구 낙성대로15길 56-39	26224	봉천동 마애미륵불좌상
스타벅스 남양산IC DT점	석산리 966	2.686378448475192	경상남도 양산시 중앙우회로 66-64	18551	계원사(양산)
스타벅스 남양산IC DT점	석산리 966	2.745164729391928	경상남도 양산시 양산대로 849	31550	양산천 구름다리
스타벅스 남양산IC DT점	석산리 966	2.9406632205687915	경상남도 양산시 교동1길 10	3558	양산향교
스타벅스 남양주연평DT점	연평리 59-3	2.2753759737658132	경기도 남양주시 진접읍 내각2로 84-77	18360	봉영사(남양주)
스타벅스 남양주연평DT점	연평리 59-3	3.8789821303810754	경기도 남양주시 진접읍 봉선사길 32	36100	봉선사(경기)
스타벅스 남양주연평DT점	연평리 59-3	4.27185187636245	경기도 남양주시 진접읍 광릉수목원로 354	29712	남양주 광릉(세조,정희왕후) [유네스코 세계문화유산]
스타벅스 남양주진접DT점	장현리 230-6	2.6445115381212463	경기도 남양주시 진접읍 봉선사길 32	36100	봉선사(경기)
스타벅스 남양주진접DT점	장현리 230-6	2.9544673741508904	경기도 남양주시 진접읍 내각2로 84-77	18360	봉영사(남양주)
스타벅스 남양주진접DT점	장현리 230-6	3.1487478473436785	경기도 남양주시 진접읍 광릉수목원로 354	29712	남양주 광릉(세조,정희왕후) [유네스코 세계문화유산]
스타벅스 다대포DT점	다대동 293-1	0.0	부산광역시 사하구 다대동	0	몰운대 (부산 국가지질공원)
스타벅스 다대포DT점	다대동 293-1	1.0983816099853363	부산광역시 사하구 몰운대1길 14	64700	다대포해수욕장
스타벅스 다대포DT점	다대동 293-1	2.893641663580332	경상남도 통영시 중앙로 27	33926	윤이상 기념공원(도천테마파크)
스타벅스 당진시곡DT점	충남 당진시 시곡동 67-2 대우임산제재소	4.609145793998591	충청남도 당진시 교동2길 33-18	2332	당진향교
스타벅스 당진시곡DT점	충남 당진시 시곡동 67-2 대우임산제재소	4.944487620942184	충청남도 당진시 신평면 동산절길 39	18636	단호박올리고마을
스타벅스 당진시곡DT점	충남 당진시 시곡동 67-2 대우임산제재소	8.073849092685247	충청남도 당진시 고대면 진관로 142-52	23599	영랑사(당진)
스타벅스 대구감삼DT점	감삼동 490-1	1.6892904153601958	대구광역시 달서구 장기로12길 10	19818	성화사
스타벅스 대구감삼DT점	감삼동 490-1	2.0985994822840848	대구광역시 서구 평리로35길 28-10	4347	중리동 곱창골목
스타벅스 대구감삼DT점	감삼동 490-1	2.11781606032014	대구광역시 서구 서대구로3길 43	34972	감삼못공원
스타벅스 대구공평DT점	동인동2가 25-1 1~2층	0.10673795060283406	대구광역시 중구 국채보상로 670	45547	국채보상운동기념공원
스타벅스 대구공평DT점	동인동2가 25-1 1~2층	0.4302420564598318	대구광역시 중구 동덕로36길 9-12	7160	동인찜갈비골목
스타벅스 대구공평DT점	동인동2가 25-1 1~2층	0.4760670640717152	대구광역시 중구 동성로2길 27	3	대구 동성로거리
스타벅스 대구도원DT점	도원동 577	0.21222244382930466	대구광역시 달서구 월곡로26길 17-39	15358	첨모재·사효당
스타벅스 대구도원DT점	도원동 577	0.8795602928143441	대구광역시 달서구 상인로18길 29	15743	인산정사
스타벅스 대구도원DT점	도원동 577	1.1467694812590563	대구광역시 달서구 앞산순환로 12-25	26179	임휴사
스타벅스 대구두류DT점	두류동 135-14	0.5695796049451408	대구광역시 달서구 두류공원로 200	46262	이월드
스타벅스 대구두류DT점	두류동 135-14	0.8194988671841265	대구광역시 서구 서대구로3길 43	34972	감삼못공원
스타벅스 대구두류DT점	두류동 135-14	0.8820793348368497	대구광역시 서구 달구벌대로375길 14-1	5470	반고개 무침회 골목
