지점명	mac_name	distance
스타벅스 세종다정DT점	맥도날드 대전신탄진DT점	16.680381746956407
스타벅스 속초DT점	맥도날드 속초DT점	0.03886616827009316
스타벅스 송파나루역DT점	맥도날드 가락DT점	2.530307266048741
스타벅스 송파방이DT점	맥도날드 가락DT점	1.5834299004340249
스타벅스 수영강변DT점	맥도날드 부산온천SK DT점	2.1256751164644525
스타벅스 수영망미DT점	맥도날드 부산온천SK DT점	2.6019239284576114
스타벅스 수원IC DT점	맥도날드 수원망포DT	2.526806457757615
스타벅스 수원KBS DT점	맥도날드 수원인계DT점	0.05531811280447933
스타벅스 수원경수인계DT점	맥도날드 수원인계DT점	0.6551693527892521
스타벅스 수원권선DT점	맥도날드 화성봉담DT점	2.6720190488615
스타벅스 수원망포DT점	맥도날드 수원망포DT	1.197106468640614
스타벅스 수원세류DT점	맥도날드 수원GS DT점	1.377093290772596
스타벅스 수원연무DT점	맥도날드 수원화성DT점	0.7270217622905847
스타벅스 수원인계DT점	맥도날드 수원인계DT점	0.6697959453875829
스타벅스 수지성복DT점	맥도날드 용인수지DT점	2.723949678769181
스타벅스 시흥대야DT점	맥도날드 부천역곡역DT점	4.705102042690401
스타벅스 신림DT점	맥도날드 서울시흥DT점	3.4302199271337144
스타벅스 신영통DT점	맥도날드 수원망포DT	1.2817628126725105
스타벅스 신월IC DT점	맥도날드 신월DT	0.2419982164663765
스타벅스 신정DT점	맥도날드 양천구청DT점	0.8110341010540255
스타벅스 아산방축DT점	맥도날드 충남아산DT점	1.0995155901087077
스타벅스 안성공도DT점	맥도날드 평택GS	5.367325090175234
스타벅스 안성석정DT점	맥도날드 평택GS	10.735775297548619
스타벅스 안양비산DT점	맥도날드 안양비산DT점	0.16021109150735752
스타벅스 안양석수DT점	맥도날드 서울시흥DT점	2.1719178281488447
스타벅스 안양운동장사거리DT점	맥도날드 안양비산DT점	1.0862991942209426
스타벅스 안양호계DT점	맥도날드 의왕오전DT점	1.4907595152916733
스타벅스 양산덕계DT점	맥도날드 양산덕계DT점	0.5279002532687005
스타벅스 양주광사DT점	맥도날드 양주덕계DT점	4.259815159640574
스타벅스 양주덕정역DT점	맥도날드 양주덕계DT점	1.8440640619992037
스타벅스 양주송추DT점	맥도날드 양주휴게소DT점	2.822178669927275
스타벅스 여수둔덕DT점	맥도날드 여수학동DT	3.1478926531125686
스타벅스 여수학동DT점	맥도날드 여수학동DT	0.3233334263646027
스타벅스 여주DT점	맥도날드 이천DT점	17.013875369079173
스타벅스 역곡역DT점	맥도날드 부천역곡역DT점	2.4859868400048373
스타벅스 연희DT점	맥도날드 양평SK점	5.639853565471946
스타벅스 영등포신길DT점	맥도날드 양평SK점	3.2845217801808464
스타벅스 오산IC DT점	맥도날드 오산DT점	0.5923881328466821
